ID	姓名	武力	智力	统御	攻击速度	移动速度	攻击距离	攻击范围	资源ID	体积	技能特效	技能缩放比例	品质	阵营ID	武将类型	人物描述	阵型ID	阵型	缘分ID	分解获得基础铜钱数	头像	卡牌	卡牌1	卡牌2	卡牌3	卡牌4	卡牌5	卡牌6	卡牌7	卡牌8	卡牌9	卡牌10	剧情对话头像	声效	偏将加成	空行
1	용사교위	43	23	23	1	95	140	300	dongzuo_plist	50	ziyun_plist		1	4	30001	교위 8명 중 한 명， 수레 모는 일을 하며， 봉급은 이천 석을 받는다.	5	ArmyFormation/heyizhen.tmx		300	heroHead/50092.png	heroCard/40092.png												sound/skillRelasebefor/tongyongnan/tongyongnan4.mp3	0.1	
2	도위	38	30	23	1	100	140	300	ganling_plist	50	ziyun_plist		1	4	30001	각 군의 군위로， 녹봉 이천석， 태수를 보좌해 군사 주관. 팔품에 해당.	2	ArmyFormation/gouxingzhen.tmx		100	heroHead/50097.png	heroCard/40097.png												sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
3	금위군	33	24	21	1	100	140	300	xiahoudun_plist	50	ziyun_plist		1	1	30001	황제와 궁성을 호위하는 무장	2	ArmyFormation/gouxingzhen.tmx		500	heroHead/50094.png	heroCard/40094.png											Dialogue/bianfang.png	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
4	호위병	42	23	28	1	100	140	300	zhaoyun_plist	50	ziyun_plist		1	4	30001	중요 관원을 보위하는 무장	6	ArmyFormation/zhuixingzhen.tmx		500	heroHead/50094.png	heroCard/40094.png											Dialogue/huwei.png	sound/skillRelasebefor/tongyongnan/tongyongnan1.mp3	0.1	
5	병조	57	32	27	1	85	140	300	dongzuo_plist	50	ziyun_plist		1	1	30001	병사 등을 관리하는 관원	4	ArmyFormation/yuanxingzhen.tmx		5000	heroHead/50089.png	heroCard/40089.png												sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
6	감군	41	20	22	1	95	140	300	ganling_plist	50	ziyun_plist		1	1	30001	군대의 감시자	3	ArmyFormation/yanxingzhen.tmx		2000	heroHead/50042.png	heroCard/40042.png												sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
7	호군	47	27	21	1	95	140	300	xiahoudun_plist	50	ziyun_plist		1	4	30001	고위 군사 장관	5	ArmyFormation/heyizhen.tmx		2000	heroHead/50042.png	heroCard/40042.png												sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
8	독군	34	25	29	1	100	140	300	zhaoyun_plist	50	ziyun_plist		1	1	30001	지방 군정 장관	6	ArmyFormation/zhuixingzhen.tmx		2000	heroHead/50042.png	heroCard/40042.png												sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
9	주작사	20	28	36	1	85	400	300	huangyueyin_plist	50	mozhua_plist		1	2	30002	고위 관원의 여자 사도	5	ArmyFormation/heyizhen.tmx		5000	heroHead/50007.png	heroCard/40007.png												sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
10	호군교관	45	26	23	1	120	140	300	dongzuo_plist	50	ziyun_plist		1	4	30001	초급 군대 훈련 교관.	6	ArmyFormation/zhuixingzhen.tmx		5000	heroHead/50091.png	heroCard/40091.png												sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
11	요희	28	39	29	1	85	400	300	huangyueyin_plist	50	mozhua_plist		1	2	30002	마법을 조금 아는 여성 무장	1	ArmyFormation/changshezhen.tmx		5000	heroHead/50053.png	heroCard/40053.png												sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
12	현승	22	30	28	1	85	400	300	zhouyu_plist	50	mozhua_plist		1	2	30002	현지사의 보좌관	1	ArmyFormation/changshezhen.tmx		500	heroHead/50096.png	heroCard/40096.png											Dialogue/canmeng.png	sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
13	군사	23	43	26	1	95	400	300	liubei_plist	50	mozhua_plist		1	1	30002	관리 중 한 명. 주로 술책에 뛰어난 사람을 지칭	3	ArmyFormation/yanxingzhen.tmx		2000	heroHead/50059.png	heroCard/40059.png												sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
